,Start,Game
0,2020-06-03 12:58:54.913990-04:00,0
1,2020-06-20 09:32:33.889144-04:00,1
2,2020-06-20 09:33:50.607653-04:00,2
3,2020-06-20 09:41:48.988083-04:00,3
4,2020-06-20 09:43:00.144915-04:00,4
5,2020-06-20 09:48:25.895263-04:00,5
6,2020-06-20 12:29:42.164925-04:00,6
7,2020-06-20 13:29:06.774678-04:00,7
8,2020-06-20 13:37:43.338333-04:00,8
9,2020-06-20 13:43:43.192224-04:00,9
10,2020-06-20 13:52:01.301835-04:00,10
11,2020-06-20 13:58:42.677862-04:00,11
12,2020-06-20 14:28:28.248154-04:00,12
13,2020-06-20 14:32:06.350904-04:00,13
14,2020-06-20 14:43:30.367488-04:00,14
15,2020-06-20 14:50:45.886394-04:00,15
16,2020-06-20 15:02:27.423783-04:00,16
17,2020-06-20 15:48:45.566534-04:00,17
